responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
52,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670385.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
104,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670437.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
151,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670484.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
213,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670546.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
260,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670593.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
306,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670639.599999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
353,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670686.5,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
401,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670734,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
463,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670796.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
509,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670842.799999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
556,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670889,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
603,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670936.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
650,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,670983,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
712,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671045.200000003,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
759,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671092.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
801,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671134.200000003,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
850,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671183.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
900,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671233.099999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
960,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671293.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1007,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671340.599999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1054,raw_position_sample,2,3,adv,18,1,1,2,-1,999,539,104,671387.099999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1101,raw_position_sample,2,3,adv,18,1,1,2,-1,999,550,100,671434.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1150,raw_position_sample,2,3,adv,18,1,1,2,-1,999,551,103,671483.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1200,raw_position_sample,2,3,adv,18,1,1,2,-1,999,565,97,671533.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1255,raw_position_sample,2,3,adv,18,1,1,2,-1,999,565,97,671588.599999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1302,raw_position_sample,2,3,adv,18,1,1,2,-1,999,565,97,671635.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1350,raw_position_sample,2,3,adv,18,1,1,2,-1,999,569,96,671683.700000003,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1411,raw_position_sample,2,3,adv,18,1,1,2,-1,999,569,96,671744.299999997,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1458,raw_position_sample,2,3,adv,18,1,1,2,-1,999,569,96,671791.599999994,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1505,raw_position_sample,2,3,adv,18,1,1,2,-1,999,569,96,671838.5,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1551,raw_position_sample,2,3,adv,18,1,1,2,-1,999,570,96,671884.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1599,raw_position_sample,2,3,adv,18,1,1,2,-1,999,574,96,671932.200000003,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
1652,raw_position_sample,2,3,adv,18,1,1,2,-1,999,586,96,671985.3999999911,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,advanced,1,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,spotlight_PROLIFIC,,36,Mexico,Spanish,"Spanish, English",,Spanish:60|English:40,100,Spanish:0|English:100,100,Spanish:80|English:20,100,15,3,Post-secondary,10,10,10,9,9,10,6,12,6,10,CEFR,C1,,,,,20,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T18:08:51.629Z,725Z7ZCC,2026-08-16,2026-08-16,11:08:51,2026-08-16 11:08:51,,,,,,,,60de7deffb38fe0ad1684964,60de7deffb38fe0ad1684964,,,,
